faiss_row,logical_product_id,chunk_source,token_count,chunk_text
0,P0001,description,346,"Name: 100% Natural All Aglow Lip & Cheek Stick
Brand: Burt's Bees
Category: Blush
Description: Burt's Bees All Aglow Lip & Cheek Stick offers the convenience of an all in one hybrid lip and cheek color stick that delivers the perfect color pop. Details Benefits LIP & CHEEK TINT: This dual-function make up stick gives your lips and cheeks the perfect color pop in a naturally flattering Suez Sands shade that screams a soft pinkish brown tone NOURISHING INGREDIENTS: This makeup duo is formulated to hydrate skin with 100% natural ingredients such as Jojoba Seed Oil Sunflower Seed Oil and a hydrating core made of coconut oil EASY APPLICATION: Swipe the 2-in-1 stick along your cheekbones as a blush or dab on your lips for a healthy-looking lightweight lip color without a heavy or cakey feel COLOR THAT CARES: Applies smoothly and blends easily this lip and cheek color is available in a variety of shades ranging from nude pink red coral and plum that deliver natural-looking color to enhance your natural glow NATURAL MAKEUP: This cheek and lip stick is dermatologist-tested and naturally formulated without parabens, phthalates, SLS, petrolatum or synthetic fragrances. Never tested on animals How To Use Swipe lip and cheek stick along your cheekbones and dab on your lips for a healthy-looking glow. For external use only."
1,P0001,platform_summary,103,"Name: 100% Natural All Aglow Lip & Cheek Stick
Brand: Burt's Bees
Category: Blush
Pros: flattering/good shade match, blends easily, natural-looking finish, smooth/creamy texture, easy to apply/use, hydrating/non-drying, long-lasting wear
Cons: 
Best uses: cheeks/blush, lips/lip color, mature skin, travel/on-the-go touch-ups"
2,P0002,description,147,"Name: 100% Oil Free Eye Makeup Remover
Brand: L'Oréal
Category: Makeup Remover
Description: Conscious Beauty at Ulta BeautyTM Give Back L'Oréal 100% Oil Free Eye Makeup Remover instantly and gently removes eye makeup without greasy residue while refreshing delicate eye area. Details Benefits Instantly & gently removes eye makeup 100% oil-free liquid eye makeup remover Dermatologist & Ophthalmologist tested Safe for contact lens wearers & is suitable for all skin types How To Use Sweep cotton ball or pad over closed eyelid and lashes until all traces of makeup are removed."
3,P0002,platform_summary,112,"Name: 100% Oil Free Eye Makeup Remover
Brand: L'Oréal
Category: Makeup Remover
Pros: removes makeup effectively, gentle/non-irritating, resists smudging/transfer, easy to apply/use, removes waterproof makeup
Cons: causes irritation/burning, does not remove makeup effectively, smudges/transfers/flakes, oily residue
Best uses: removing eye makeup, removing waterproof makeup, sensitive eyes, sensitive skin"
4,P0003,description,186,"Name: 16h Cover & Last Powder Foundation
Brand: Essence
Category: Foundation
Description: Conscious Beauty at Ulta BeautyTM Vegan Cruelty Free Give Back Looking for a long-lasting powder foundation that can keep up with your busy schedule? Look no further than Essence 16H Cover & Last Powder Foundation! Details Features Formulated Without Pressed powder foundation formula Long-lasting powder foundation lasts up to 16h Light texture with a high coverage & matte finish Waterproof foundation formula Transferproof foundation formula Mirror & sponge applicator included Cruelty free Animal by-products Fragrance Microplastic particles Parabens Preservatives How To Use Apply essence 16H Cover & Last Powder Foundation to well-moisturized and prepped skin with a foundation brush or the included sponge applicator. Build up coverage as desired."
5,P0003,platform_summary,172,"Name: 16h Cover & Last Powder Foundation
Brand: Essence
Category: Foundation
Pros: good/buildable coverage, long-lasting wear, smooth/creamy texture, good value/affordable, hydrating/non-drying, natural-looking finish, does not emphasize lines/wrinkles, flattering/good shade match
Cons: cakey finish, drying/emphasizes dry patches, poor/insufficient coverage, strong/unpleasant scent, heavy/thick feel, patchy/streaky finish
Best uses: setting makeup, alone instead of foundation, covering blemishes/dark spots, acne-prone skin, everyday wear, humid/hot weather, natural/light makeup looks, oily skin"
6,P0004,description,367,"Name: 16HR Camo Concealer
Brand: e.l.f. Cosmetics
Category: Concealer
Description: Conscious Beauty at Ulta BeautyTM Vegan Cruelty Free e.l.f. Cosmetics 16HR Camo Concealer is a crease-proof liquid concealer that provides 16-hour full coverage and a matte finish while moisturizing your skin. Details Benefits Key Ingredients Formulated Without Full coverage liquid concealer with a smooth, matte finish and long 16-hour wear time Large doe foot applicator offers easy, even, and precise application Lightweight, highly pigmented formula won't settle into fine lines or creases Ingredient-driven formula moisturizes skin, while helping control shine Use to conceal, correct, contour and highlight For normal, combination, and oily skin Available in 26 shades 100% vegan, cruelty-free, and Leaping Bunny Certified. Avocado Oil - Moisturizes and protects skin Kaolin Clay - Helps control excess oil and shine Phthalates Parabens Nonylphenol Ethoxylates Triclosan Triclocarban Hydroquinone How To Use • Prep the under-eye area with the e.l.f. Holy Hydration! Eye Cream followed by the Poreless Putty Primer on top. • Use the doefoot applicator to apply concealer to desired areas. • Blend concealer with using the Flawless Concealer Brush by stippling areas that needed heavier coverage and buffing out the remainder. • Fingers or a sponge can be used as an alternate to blend the concealer."
7,P0004,platform_summary,140,"Name: 16HR Camo Concealer
Brand: e.l.f. Cosmetics
Category: Concealer
Pros: good/buildable coverage, good value/affordable, smooth/creamy texture, flattering/good shade match, hydrating/non-drying, long-lasting wear
Cons: drying/emphasizes dry patches, cakey finish, creases/settles into lines, difficult to blend, shade/color mismatch or inaccurate photos, heavy/thick feel, patchy/streaky finish
Best uses: dry skin, under-eye dark circles/brightening"
8,P0005,description,166,"Name: 2 In 1 Piece Of Cake Blush + Highlighter
Brand: J.Cat Beauty
Category: Blush
Description: There are 2 much sweet overload with J.Cat Beauty 2 In 1 Piece Of Cake Blush + Highlighter! Details Features Contains 2 different formulas and shades for each layer. First blinding layer has intense highlight that is packed with maximum shimmer. Second layer will give the best flush of color on the cheeks with intense pigmentation How To Use Apply with fingertips or a brush to the center of the cheeks using a circular motion. Use the highlighter on areas where the sun naturally hits, like cheekbones, décolleté, brow bones with any powder brush or fan brush."
9,P0005,platform_summary,75,"Name: 2 In 1 Piece Of Cake Blush + Highlighter
Brand: J.Cat Beauty
Category: Blush
Pros: flattering/good shade match, smooth/creamy texture, strong pigmentation/color payoff
Cons: shade/color mismatch or inaccurate photos
Best uses: humid/hot weather"
