query_id,logical_product_id,query_text,query_type,product_name,brand,category,description,pros,cons,best_uses
44,P0715,Tinted moisturizer with a natural finish that lasts through a day of hiking,multiple_requirements,Mini Tinted Moisturizer Natural Skin Perfector Broad Spectrum SPF 30,Laura Mercier,Tinted Moisturizer,"The Mini Tinted Moisturizer Natural Skin Perfector Broad Spectrum SPF 30 is Laura Mercier's skin-perfecting secret to a flawless, dewy, no-makeup-makeup look. This multitasking blend of skincare and makeup blurs imperfections, with a sheer hint of coverage. Details Benefits Key Ingredients Perfect your skin with a sheer hint of coverage for an effortless no-makeup makeup dewy finish The perfect blend of skincare & makeup improves your skin over time with a hydrating complex made up of Macadamia & Kukui seed oils that helps increase the skin's moisture levels long-term for 24 hours of hydration, while reducing the signs of visibly dry skin Lightweight formula, infused with Tamarind seed extract, helps skin retain moisture to prevent water evaporation, for long lasting hydration Broad Spectrum SPF 30 UVB/UVA sunscreen plus a power-blend of antioxidant vitamins C & E help protect skin from the damaging effects of the environment Macadamia & Kukui seed oils to support healthy skin function Tamarind seed extract to lock in moisture & give enhanced antioxidant protection Silica treated pigments helps create a soft focus effect for a naturally dewy finish Glycerin to soften fine lines, revitalizing hydration Vitamin complex of C & E to protect the skin from environmental agressors Broad spectrum SPF 30 UVA/UVB sunscreen for ideal protection from the sun's harmful, skin-damaging rays How To Use Place a small amount on the back of your hand and apply to face with a makeup sponge or with clean fingertips. Focus on one area at a time and blend well. For best results, use after your preferred Laura Mercier Foundation Primer (sold separately).","flattering/good shade match, natural-looking finish, glowy/radiant finish, good/buildable coverage, smooth/creamy texture, blends easily, easy to apply/use","difficult to blend, heavy/thick feel, too shiny/glittery","travel/on-the-go touch-ups, alone instead of foundation, covering blemishes/dark spots, mature skin"
9,P0623,Setting powder,broad_or_underspecified,Loose Setting Powder,Dermablend,Setting Spray & Powder,"Dermablend Loose Setting Powder is the ultimate step to lock in makeup for up to 16 hours of smudge and transfer-resistant wear and mattify complexion. Details Benefits Formulated Without Formulated to flawlessly lock in Dermablend foundation and concealer for up to 16 hours of smudge and transfer-resistant wear with a matte finish Mattifies complexion with sheer translucence Weightless micronized powder is transparent upon application and suitable for all skin types Translucent powder can be used for baking, setting, and finishing Available in Cool Beige shade for enhancing cooler undertones, and Warm Saffron shade for enhancing warm undertones in deeper skin tones #1 dermatologist recommended coverage brand Skin Security Standards: Dermatologist tested for safety, non-comedogenic, sensitive skin tested, allergy tested, and PETA certified Fragrance Triclosan Phthalates Sodium lauryl sulfate Parabens Animal derived ingredients How To Use","long-lasting wear, easy to apply/use, glowy/radiant finish, good value/affordable, hydrating/non-drying, smooth/creamy texture","creases/settles into lines, drying/emphasizes dry patches, oxidizes/changes color, smudges/transfers/flakes","setting makeup, dry skin, sensitive skin"
42,P1138,Light-coverage tinted moisturizer with a dewy finish for dry skin,multiple_requirements,Tinted Moisturizer Natural Skin Perfector Broad Spectrum SPF 30,Laura Mercier,Tinted Moisturizer,"Tinted Moisturizer Natural Skin Perfector Broad Spectrum SPF 30 is Laura Mercier's skin-perfecting secret to a flawless, dewy, no-makeup-makeup look. This multitasking blend of skincare and makeup blurs imperfections, with a sheer hint of coverage. Details Benefits Key Ingredients Perfect your skin with a sheer hint of coverage for an effortless no-makeup makeup dewy finish This perfect blend of skincare and makeup improves your skin over time with a Hydrating Complex made up of Macadamia and Kukui Seed Oils that helps increase the skin's moisture levels long-term for 24 hours of hydration, while reducing the signs of visibly dry skin The lightweight formula, infused with Tamarind Seed Extract, helps skin retain moisture to prevent water evaporation, for long lasting hydration A Broad Spectrum SPF 30 UVB/UVA sunscreen plus a power-blend of antioxidant vitamins C and E help protect skin from the damaging effects of the environment Macadamia and Kukui Seed Oils to support healthy skin function Tamarind Seed Extract to lock in moisture and give enhanced antioxidant protection Silica Treated Pigments helps create a soft focus effect for a naturally dewy finish Glycerin to soften fine lines, revitalizing hydration Vitamin Complex of C & E to protect the skin from environmental agressors Broad spectrum SPF 30 UVA/UVB sunscreen for ideal protection from the sun's harmful, skin-damaging rays How To Use Place a small amount on the back of your hand and apply to face with a makeup sponge or with clean fingertips. Focus on one area at a time and blend well. For best results, use after your preferred Laura Mercier Foundation Primer (sold separately).","natural-looking finish, good/buildable coverage, hydrating/non-drying, long-lasting wear, smooth/creamy texture, glowy/radiant finish, blends easily, flattering/good shade match, lightweight feel, easy to apply/use","drying/emphasizes dry patches, heavy/thick feel, cakey finish, can cause breakouts, causes irritation/burning, poor/insufficient coverage, smudges/transfers/flakes","everyday wear, natural/light makeup looks, covering blemishes/dark spots, dry skin, combination skin, humid/hot weather, mature skin"
47,P0188,CC cream that does not oxidize or turn orange over time,problem_or_negative_constraint,Camo Hydrating CC Cream SPF 30,e.l.f. Cosmetics,BB & CC Creams,"Conscious Beauty at Ulta BeautyTM Vegan Cruelty Free e.l.f. Cosmetics' long-lasting, color-correcting Camo Hydrating CC Cream delivers the full coverage you crave while moisturizing skin for a smooth, glowy finish. It's infused with vitamin B5, plus tremella mushroom, hyaluronic acid, and broad-spectrum SPF 30 to help protect skin from the sun. Details Benefits Key Ingredients Formulated Without Full coverage, color-correcting foundation hydrates skin for a dewy finish Helps plump skin's appearance Broad-spectrum SPF 30 sunscreen helps protect skin from the sun Great for dry, oily & combination skin 100% vegan & cruelty-free; e.l.f. is Leaping Bunny Certified Made in a Fair-Trade Certified facility Vitamin B5 helps to moisturize & nourish skin Phthalates Parabens Nonylphenol ethoxylates Triclosan Triclocarban Hydroquinone How To Use Prep skin with e.l.f.'s Power Grip Primer or your favorite e.l.f. primer (sold separately). Apply 1-2 pumps of the CC Cream to clean skin using the Complexion Duo Brush (sold separately) to achieve an airbrushed finish. Wear as a moisturizer or full-coverage foundation depending on your needs. Pro Tip: Apply to the areas that need the most color correcting first to help even the skin's tone.","good/buildable coverage, glowy/radiant finish, hydrating/non-drying, smooth/creamy texture, flattering/good shade match, natural-looking finish, lightweight feel, long-lasting wear, good value/affordable, matte finish/oil control","drying/emphasizes dry patches, heavy/thick feel, cakey finish, creases/settles into lines, oxidizes/changes color, patchy/streaky finish, shade/color mismatch or inaccurate photos","covering blemishes/dark spots, dry skin"
42,P0302,Light-coverage tinted moisturizer with a dewy finish for dry skin,multiple_requirements,Dew Skin Tinted Moisturizer,Beautycounter,Tinted Moisturizer,"Conscious Beauty at Ulta BeautyTM Clean Ingredients Cruelty Free Sustainable Packaging Brand Give Back Beautycounter's Dew Skin Tinted Moisturizer with safer SPF 20 gives sheer, lightweight coverage for radiant-looking skin that appears firmer over time. Details Benefits Key Ingredients Research Results Sheer coverage: Lightweight formula provides sheer coverage Dewy finish: Pearlescent pigments deliver a dewy, luminous finish Safer SPF 20: Mineral SPF 20 formulated with non-nano zinc oxide protects against the sun's damaging rays Clinically proven skin care: A blend of black currant seed oil, peony root extract, and vitamin C for increased appearance of skin firmness and radiance over time. Non-Nano Zinc Oxide: A physical, mineral sun-protection technology that works by reflecting UV rays Black Currant Seed Oil and Peony Root Extract: Helps even skin tone and enhance radiance Vitamin C: Helps brighten and even skin tone Organic Madagascar Bourbon Vanilla: High-quality and responsibly sourced certified organic vanilla adds a subtle, yet sophisticated fragrance Clinically proven to* Visibly increase skin firmness Increase skin elasticity *Based on an independent 28-women clinical evaluation study after eight weeks of daily use. How To Use Use daily, alone or on top of moisturizer. Massage evenly into skin with fingertips.","smooth/creamy texture, glowy/radiant finish, good value/affordable, good/buildable coverage, lightweight feel","heavy/thick feel, smudges/transfers/flakes, cakey finish, drying/emphasizes dry patches, patchy/streaky finish, poor pigmentation/color payoff, shade/color mismatch or inaccurate photos","cheeks/blush, humid/hot weather"
29,P1253,Waterproof makeup remover,single_property,Waterproof Makeup Remover,J.Cat Beauty,Makeup Remover,"J.Cat Beauty Waterproof Makeup Remover, a high performance, cucumber infused that dissolves any stubborn waterproof makeup. Details Features Infused with cucumber to hydrate your skin Gently removes heavy or waterproof eye and lip makeup How To Use Shake well before use. Saturate cotton pad or cotton ball with remover to wipe away stubborn makeup. Apply the cotton over eye area several seconds, then wipe with downward strokes and lip area in a side to side motion. Repeat if necessary. Rinse with cool water. Precautions: Please read the ingredient list on the packaging of your product to be sure that the ingredients are appropriate for your personal use.","resists smudging/transfer, removes makeup effectively, gentle/non-irritating, good value/affordable","causes irritation/burning, heavy/thick feel, smudges/transfers/flakes","everyday wear, eyeshadow/eye looks, removing eye makeup, sensitive skin"
4,P0110,Noncomedogenic pore-blurring product,broad_or_underspecified,Blurring Putty Primer - Poreless,L.A. Girl,Face Primer,"This revolutionary L.A. Girl Blurring Putty Primer is designed to create the perfect base for your makeup, blurring imperfections and ensuring your look stays impeccable all day long. Say goodbye and minimize fine lines and pores. Achieve that professional, long-lasting makeup look with ease. Details Features Smooth velvety texture glides over skin seamlessly Holds on to makeup for all-day wear","glowy/radiant finish, hydrating/non-drying",,
21,P0745,Matte bronzer,single_property,Natural-Looking Matte Powder Bronzer,Anastasia Beverly Hills,Bronzer,"Conscious Beauty at Ulta BeautyTM Cruelty Free Powder Bronzer by Anastasia Beverly Hills is a finely milled bronzing powder that provides a natural-looking matte finish with buildable coverage. This professional-quality powder bronzer feels weightless on the face and body and blends seamlessly to add warmth for a sun-kissed makeup look. Details Benefits Features Powder Bronzer can be layered on top of liquid, cream or powder complexion products Shade range is inclusive for cool and olive undertones Includes a large mirror for on-the-go touch-ups Available in naturally sun-kissed shades Cruelty-free How To Use For a natural bronze, dust Powder Bronzer on the upper cheek plane, down the nose, chin and forehead. For a tan glam, apply Powder Bronzer to the jawline, side of the nose, tip of the nose, temple and cheek contour. Pro Tip: Use Powder Bronzer as an eye shadow for added warmth in the crease.","blends easily, glowy/radiant finish, natural-looking finish, strong pigmentation/color payoff",shade/color mismatch or inaccurate photos,"bronzing/contouring, cheeks/blush, everyday wear, humid/hot weather"
48,P0690,Something for oily skin,broad_or_underspecified,Mind Over Matte-r Oil Blotting Stick,florence by mills,Face Primer,"Conscious Beauty at Ulta BeautyTM Vegan Clean Ingredients Cruelty Free Did someone say pores? The florence by mills Mind Over Matte-r Oil Blotting Stick helps blur the appearance of pores and minimize shine for a visibly smooth, matte appearance. If you struggle with excess oil, this is a must-have in your routine after moisturizing. Details Benefits Key Ingredients Absorbs excess oil Blurs the appearance of pores Minimizes shine Gives skin a visibly smooth, matte appearance Silica helps absorb oil & blur the appearance of pores Dimethicone helps condition, smooth & mattify skin's appearance How To Use Apply after daytime moisturizer to blot oil and blur pores, or as a touch-up over makeup throughout the day.","glowy/radiant finish, flattering/good shade match, smooth/creamy texture","drying/emphasizes dry patches, creases/settles into lines, heavy/thick feel","combination skin, everyday wear, oily skin"
22,P0856,Powder bronzer with a warm undertone for a sun-kissed look,multiple_requirements,Pressed Powder Bronzer,ColourPop,Bronzer,"ColourPop's Pressed Powder Bronzer features a silky, ultra-blendable formula for the perfect sun-kissed look. This lightweight, dermatologist-tested bronzer adds warmth, dimension, and depth with a natural matte finish. Details Benefits Key Ingredients Silky, long-lasting formula Blendable & buildable Lightweight feel Doesn't look or feel chalky Natural matte finish Dermatologist tested Amino acid derivative helps formula stay moisturized How To Use With a fluffy brush, lightly dust under the cheekbones and along the hairline, jawline, and neck.","flattering/good shade match, strong pigmentation/color payoff, easy to apply/use, blends easily, natural-looking finish, smooth/creamy texture, glowy/radiant finish, good value/affordable, lightweight feel, long-lasting wear",poor pigmentation/color payoff,"bronzing/contouring, cheeks/blush, acne-prone skin, sensitive skin"
