candidate_id,query_id,query_text,rank,logical_product_id,score,logical_product_link,product_name,brand,category,price,description,ingredients,pros,cons,best_uses,page_rating,page_review_count
gte_full,1,Hydrating face primer,1,P0500,0.7903263,https://www.ulta.com/p/hydrating-face-primer-large-xlsImpprod17451019,Hydrating Face Primer - Large,e.l.f. Cosmetics,Face Primer,10.0,"Conscious Beauty at Ulta BeautyTM Vegan Cruelty Free e.l.f. Cosmetics Hydrating Face Primer transforms your face into a flawless, smooth canvas ideal for long-lasting makeup application. Details Benefits Key Ingredients Formulated Without Silky cream formula moisturizes, soothes, and brightens skin Refreshes complexion pre-makeup with hydration and essential vitamins Delivers sheer coverage with a natural finish Smoothes and preps skin for a prolonged makeup wear Great for: Normal, Combination, and Dry Skin Available in Small (0.47 oz) and Large (1.01 oz) 100% vegan & cruelty-free Grapeseed Oil - Calms and evens out skin tone Vitamin A - Hydrates and promotes skin's natural moisture Vitamin C - Brightens skin Vitamin E - Nourishes and softens skin Phthalates, parabens, nonylphenol ethoxylates, triclosan, triclocarban & hydroquinone How To Use Apply to clean skin prior to makeup application to prep skin. Use a small abount and blend evenly on your face.","Ingredients Dimethicone, Tridecyl Trimellitate, Dimethicone Crosspolymer, Vitis Vinifera (Grape) Seed Oil, Phenoxyethanol, Caprylyl Glycol, Retinyl Palmitate (Va), Tocopheryl Acetate (Ve), Ascorbyl Palmitate (Vc), Silica Dimethyl Silylat.","hydrating/non-drying, smooth/creamy texture, natural-looking finish, gentle/non-irritating, good value/affordable, long-lasting wear","patchy/streaky finish, causes irritation/burning, creases/settles into lines, difficult/messy application, drying/emphasizes dry patches, poor longevity","dry skin, cheeks/blush, everyday wear, oily skin, setting makeup",3.3,177.0
gte_full,1,Hydrating face primer,2,P0501,0.78090155,https://www.ulta.com/p/hydrating-face-primer-small-xlsImpprod14521173,Hydrating Face Primer - Small,e.l.f. Cosmetics,Face Primer,8.0,"Conscious Beauty at Ulta BeautyTM Vegan Cruelty Free The e.l.f. Cosmetics Hydrating Face Primer transforms your face into a flawless, smooth canvas ideal for long-lasting makeup application. Details Benefits Key Ingredients Formulated Without Silky cream formula moisturizes, soothes, and brightens skin Refreshes complexion pre-makeup with hydration and essential vitamins Delivers sheer coverage with a natural finish Smoothes and preps skin for a prolonged makeup wear Great for: Normal, Combination, and Dry Skin Available in Small (0.47 oz) and Large (1.01 oz) 100% vegan & cruelty-free Grapeseed Oil - Calms and evens out skin tone Vitamin A - Hydrates and promotes skin's natural moisture Vitamin C - Brightens skin Vitamin E - Nourishes and softens skin Phthalates, parabens, nonylphenol ethoxylates, triclosan, triclocarban & hydroquinone How To Use Apply to clean skin prior to makeup application to prep skin.","Ingredients Dimethicone, Tridecyl Trimellitate, Dimethicone Crosspolymer, Vitis Vinifera (Grape) Seed Oil, Phenoxyethanol, Caprylyl Glycol, Retinyl Palmitate (Va), Tocopheryl Acetate (Ve), Ascorbyl Palmitate (Vc), Silica Dimethyl Silylate.","smooth/creamy texture, hydrating/non-drying, gentle/non-irritating, matte finish/oil control","cakey finish, causes irritation/burning, strong/unpleasant scent, can cause breakouts, heavy/thick feel, smudges/transfers/flakes","dry skin, everyday wear, humid/hot weather, mature skin, sensitive skin, setting makeup, under foundation/makeup",3.3,712.0
gte_full,1,Hydrating face primer,3,P0876,0.7768552,https://www.ulta.com/p/prime-time-hydrate-glow-primer-pimprod2036902,PRIME TIME Hydrate & Glow Primer,bareMinerals,Face Primer,31.0,"Conscious Beauty at Ulta BeautyTM Vegan Clean Ingredients Cruelty Free Give Back bareMinerals PRIME TIME Hydrate & Glow Primer is an ultra-light, serum primer that plumps skin's hydration, boosts glow, and evens skin tone with mineral pigments for a soft-radiant finish. Details Benefits Key Ingredients Formulated Without Preps skin for makeup Boosts skin's glow and evens tone with mineral pigments* Provides a soft-radiant finish* Plumps skin’s hydration levels overtime* *Based on average results from an Independent U.S. clinical study of 36 people Apple Extract: Naturally-derived humectant smooths and plumps skin Luminous Micas: Instantly brightens skin and imparts a healthy glow that flatters all skin tones Gluten, PEGs, parabens, formaldehyde, SLS, synthetic fragrance, tree nuts and more How To Use Apply a small amount to your entire face after skincare and allow primer to dry before foundation.","Ingredients Water (Aqua/Eau), Caprylic/Capric Triglyceride, Glycerin, Caprylic/Capric/Succinic Triglyceride, Dicaprylyl Carbonate, Glyceryl Stearate, Sodium Stearoyl Glutamate, Cetearyl Alcohol, Tocopherol, Malus Domestica Fruit Cell Culture Extract, Kappaphycus Alvarezii Extract, Caesalpinia Spinosa Fruit Extract, Euterpe Oleracea Fruit Oil, Helianthus Annuus (Sunflower) Seed Oil, Xanthan Gum, Lecithin, Tin Oxide, Synthetic Fluorphlogopite, Polyacrylate Crosspolymer-6, Mica, Hydroxyacetophenone, Ethylhexylglycerin, Cellulose, Tetrasodium Glutamate Diacetate, Sodium Hydroxide, Ascorbyl Palmitate, Citric Acid, Phenoxyethanol. May Contain/Peut Contenir(+/-): Iron Oxides (CI 77491, CI 77492, CI 77499), Titanium Dioxide (CI 77891).","glowy/radiant finish, hydrating/non-drying, easy to apply/use, smooth/creamy texture","can cause breakouts, causes irritation/burning, heavy/thick feel, smudges/transfers/flakes, too shiny/glittery","alone instead of foundation, long-wear events",4.4,301.0
gte_full,1,Hydrating face primer,4,P0793,0.7743029,https://www.ulta.com/p/photo-focus-face-primer-xlsImpprod16731067,Photo Focus Face Primer,Wet n Wild,Face Primer,6.99,"Wet n Wild is here to make your dreams come true! This miraculous Photo Focus Face Primer can be used all over your face to minimize the appearance of pores, fill in fine lines and wrinkles and even out skin tone. Details Benefits Key Ingredients Minimize the appearance of pores Fills in fine lines and wrinkles Evens out skin tone Prevents your foundation from caking Brightens your complexion for ultra-vibrant color that lasts all day White sapphire, formulated into a smooth, silky cream that glides on effortlessly, leaving behind a crystal complexion. How To Use Precautions: For external use only. Do not consume. Keep out of reach of children.","Ingredients Water / Eau, Cyclopentasiloxane, Isododecane, Ethylene / Acrylic Acid Copolymer, Methyl Methacrylate Crosspolymer, Butylene Glycol, Decyl Glucoside, Polysilicone-11, Dimethicone, Phenoxyethanol, Triethanolamine, Carbomer, Caprylyl Glycol, Chlorphenesin, Alumina, Hexylene Glycol, Ethylhexylglycerin, Hydroxyethylcellulose, 3-O-Ethyl Ascorbic Acid.","hydrating/non-drying, long-lasting wear, matte finish/oil control, natural-looking finish","drying/emphasizes dry patches, causes irritation/burning, patchy/streaky finish, smudges/transfers/flakes",oily skin,4.1,1581.0
gte_full,1,Hydrating face primer,5,P0497,0.7677053,https://www.ulta.com/p/hydrate-primer-pimprod2006378,Hydrate Primer,Revolution Beauty,Face Primer,8.0,"Revolution Beauty's Hydrate Primer is a fast-absorbing, lightweight water-based primer that instantly hydrates skin. Details Benefits Key Ingredients Results in a glowing complexion Preps skin for a long day wear Helps keep skin hydrated Vitamin E to nourish Hyaluronate Acid to hydrate","Ingredients Aqua/Watee/Eau, Jojoba Esters, Tocopherol, Glycerin, Isododecane, Hydrogenated Polyisobutene, Potassium Cetyl Phosphate, Amp-Acrylates/Allyl Methacrylate Copolymer, Polyacrylamide, C13-14 Isoparaffin, C9-11 Pareth-6, Vp / Eicosene Copolymer, Phenoxyethanol, Caprylyl Glycol, Chlorphenesin, Xanthan Gum, Sodium Hyaluronate, Disodium Edta, Panthenol, Tocopheryl Acetate.","hydrating/non-drying, smooth/creamy texture, glowy/radiant finish, good value/affordable, easy to apply/use, gentle/non-irritating, natural-looking finish","causes irritation/burning, cakey finish, creases/settles into lines, packaging/applicator problems, poor longevity, smudges/transfers/flakes","alone instead of foundation, cheeks/blush, mature skin, rosacea/redness-prone skin, sensitive skin",4.2,23.0
gte_full,2,Pore-minimizing face primer with a matte finish for oily skin,1,P0790,0.8487399,https://www.ulta.com/p/photo-finish-oil-free-pore-minimizing-primer-xlsImpprod10991261,Photo Finish Oil-Free Pore Minimizing Primer,Smashbox,Face Primer,42.0,"Smashbox Photo Finish Oil-Free Pore Minimizing Primer is an oil-free matte primer gel that instantly blurs flaws, reduces the appearance of pores and controls oil for up to 8 hours. Mattify shine with this Allure award-winning primer that preps skin for makeup. Non-acnegenic & Dermatologist-tested. Details Benefits Formulated Without Dramatically reduces the look of pores Mattifies shine & controls oil all day Smooths & preps skin for makeup Won't clog pores or cause breakouts Water-resistant, smooth-glide texture Leaves a soft, even finish Cruelty-free In a consumer study on 99 women after 1 use: 97% saw the look of pores minimized 97% said skin felt smoother 96% felt makeup went on smoother In a consumer study on 99 women after 1 week of use: 93% said it worked well with their skin tone 90% said it helped makeup last all day 90% said makeup required fewer touch-ups Parabens, Phthalates, Oil, SLS & SLES-Free, Triclosan, Mineral Oil, Formaldehyde, Coal Tar, Hydroquinone How To Use Warm with fingers before applying. Smooth a sheer layer over clean, moisturized skin. Wear alone, under Studio Skin foundation or even over makeup. Studio Skin 24 Hour Oil-Free Hydra Foundation Studio Skin Full Coverage 24 Hour Foundation Halo Fresh Perfecting Powder Studio tip: Pat over or under makeup anywhere you need a bit of shine control. Use It With:","Ingredients Cyclopentasiloxane, Dimethicone, Hdi/Trimethylol Hexyllactone Crosspolymer, Silica, Isononyl Isononanoate, Isododecane, Dimethicone/Vinyl Dimethicone Crosspolymer, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Polymethyl Methacrylate, Lauroyl Lysine, Tocopheryl Acetate, Ethylhexylglycerin, Phytosteryl/Octyldodecyl Lauroyl Glutamate, Hydrolyzed Soy Protein, Methicone, Stearyl Glycyrrhetinate, Water\Aqua\Eau, Coconut Acid, Phenoxyethanol, Mica, Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77491, Ci 77492, Ci 77499). Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.","smooth/creamy texture, hydrating/non-drying, blends easily, does not emphasize lines/wrinkles, easy to apply/use, lightweight feel, long-lasting wear, matte finish/oil control","drying/emphasizes dry patches, smudges/transfers/flakes","oily skin, under foundation/makeup, alone instead of foundation, cheeks/blush, covering blemishes/dark spots, humid/hot weather, sensitive skin",4.2,767.0
gte_full,2,Pore-minimizing face primer with a matte finish for oily skin,2,P0823,0.82491267,https://www.ulta.com/p/porefessional-matte-pore-minimizing-primer-pimprod2046073,The POREfessional Matte Pore Minimizing Primer,Benefit Cosmetics,Face Primer,35.0,"Conscious Beauty at Ulta BeautyTM Sustainable Packaging Brand Benefit's lightweight Primer does it all: blurs the look of pores, helps makeup stay put, and instantly absorbs excess oil for a lasting natural-matte finish. Thanks to some star ingredients, the more you use it, the better your skin looks. Mattified AND damn good skin? Better get used to it. Details Benefits Key Ingredients Research Results Blurs pores Visibly refines pores Good for oily skin Non-comedogenic Translucent Natural-matte finish Niacinamide, a form of Vitamin B3, contributes to skin hydration and helps smooth the look of pores Rose Hip Extract helps reduce excess surface skin oil and shine Mineral Powder softly blurs the look of pores 12-hour pore-refining* How To Use Smooth all over face with fingertips. Use alone or under makeup.","Ingredients Aqua (Water), Dimethicone, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Dimethicone/Vinyl Dimethicone Crosspolymer, Butylene Glycol, Niacinamide, Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone, Polyglyceryl-3 Disiloxane Dimethicone, 1,2-Hexanediol, Boron Nitride, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Isononyl Isononanoate, Sodium Chloride, Hydroxyacetophenone, Acrylamide/Sodium Acryloyldimethyltaurate Copolymer, Phenoxyethanol, Isohexadecane, Parfum (Fragrance), Polysorbate 80, Sorbitan Oleate, Rosa Canina Fruit Extract, Tocopherol, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate. Product ingredient listings are updated periodically. Before using a benefit product, please read the ingredient list on the packaging of your product to be sure that the ingredients are appropriate for your personal use.",,,,,
gte_full,2,Pore-minimizing face primer with a matte finish for oily skin,3,P1266,0.81229246,https://www.ulta.com/p/your-skin-but-better-makeup-primer-oil-free-pimprod2022001,Your Skin But Better Makeup Primer+ Oil-Free,IT Cosmetics,Face Primer,42.0,"Conscious Beauty at Ulta BeautyTM Give Back IT Cosmetics Your Skin But Better Makeup Primer+ Oil-Free is a makeup-gripping base that hydrates your skin while extending the wear of your makeup. With continued use, this skin-transforming primer also works to refine the look of pores! Details Features Benefits Perfect for all skin types, including sensitive skin, and featuring all day grip technology, this primer can be worn underneath makeup, or by itself, for a more refined and hydrated complexion. #1 Prestige Face Makeup Brand in the U.S. (Source: The NPD Group/ U.S. Prestige Beauty Total Measured Market, Makeup Brand Dollar Sales, January-November 2020) Refines the look of pores with continued use. Oil-free formula infused with skin-loving glycerin, bark extract and ginger root extract. Pairs perfectly with your CC+ Creams. How To Use Apply a thin, even layer onto clean skin, after your moisturizer. Blend foundation and other makeup on top for a smooth, fresh finish that lasts. Can be worn on bare skin for an extra boost of hydration.","Ingredients Aqua/Water/Eau, Glycerin, Alcohol Denat., Dimethicone, Ammonium Polyacryloyldimethyl Taurate, Peg/Ppg/Polybutylene Glycol-8/5/3 Glycerin, Triethanolamine, Phenoxyethanol, Silica, Capryloyl Glycine, Cetyl Dimethicone, Mel/Honey/Miel, Carbomer, Silica Silylate, Caprylyl Glycol, Bis-Peg-18 Methyl Ether Dimethyl Silane, Butylene Glycol, Dimethicone/Peg-10/15 Crosspolymer, Cetearyl Alcohol, Salicylic Acid, Acrylonitrile/Methyl Methacrylate/Vinylidene Chloride Copolymer, Totarol, Glyceryl Acrylate/Acrylic Acid Copolymer, Cetearyl Glucoside, Isobutane, Dipropylene Glycol, Zingiber Officinale Root Extract/Ginger Root Extract, Sanguisorba Officinalis Root Extract, Cinnamomum Cassia Bark Extract, Sodium Citrate, CI 14700/Red 4, Bht, Tocopherol.","smooth/creamy texture, lightweight feel, natural-looking finish, easy to apply/use, good value/affordable, hydrating/non-drying, long-lasting wear, matte finish/oil control, resists smudging/transfer","drying/emphasizes dry patches, heavy/thick feel, oily residue, poor longevity, smudges/transfers/flakes, too expensive/poor value","humid/hot weather, oily skin, dry skin, mature skin",4.4,811.0
gte_full,2,Pore-minimizing face primer with a matte finish for oily skin,4,P0362,0.8120841,https://www.ulta.com/p/facestudio-master-prime-blur-pore-minimize-primer-xlsImpprod18351169,FaceStudio Master Prime Blur + Pore Minimize Primer,Maybelline,Face Primer,11.99,"Conscious Beauty at Ulta BeautyTM Vegan Clean Ingredients Give Back Maybelline FaceStudio Master Prime Blur + Pore Minimize, a must-have primer, reduces the appearance of pores for instantly smoother looking skin. Details Benefits Primes, blurs & evens skin tone, while covering imperfections and minimizing appearance of pores Prolongs wear & keeps makeup in place from morning to night Lightweight & non-oily, formulated for all skin types Doesn't clog pores; dermatologist and allergy tested How To Use Apply this face primer all over your face before using foundation or wear alone for a luminous effect. Precautions: For external use only.","Ingredients Cyclopentasiloxane, Dimethicone, Crosspolymer, F.I.L. B30776/1.","smooth/creamy texture, long-lasting wear, glowy/radiant finish, good value/affordable, good/buildable coverage, natural-looking finish","can cause breakouts, drying/emphasizes dry patches, patchy/streaky finish, causes irritation/burning, poor longevity","oily skin, mature skin",4.3,6637.0
gte_full,2,Pore-minimizing face primer with a matte finish for oily skin,5,P0833,0.8112597,https://www.ulta.com/p/pores-no-more-pore-refiner-primer-xlsImpprod4200231,Pores No More Pore Refiner Primer,Dr. Brandt,Face Primer,48.0,"Conscious Beauty at Ulta BeautyTM Sustainable Packaging Brand Give Back Dr. BRANDT Pores No More Refiner Primer is a primer that helps diminish the look of pores and imperfections, mattifies the skin and creates a smooth canvas. Details Benefits Formulated Without Instantly* minimizes the appearance of pores, lines and imperfections Absorbs excess oil and mattifies shine Creates a smooth, flawless finish with or without makeup Shrinks the appearance of pores overtime Contains less than one percent of synthetic fragrances *Individual results may vary AFTER ONE APPLICATION: Skin oiliness is significantly decreased by 40%** 100% showed a decrease in the appearance of pore size** 90% reported that the skin complexion looks more even*** 87% reported that the skin is perfectly shine-free*** AFTER 2 WEEKS OF USE***: 100% reported that the product visibly reduces the appearance of pores 100% reported that the product absorbs excess oil 93% reported that the product blurs the look of imperfections and lines **Instrumental evaluation conducted on 30 volunteers ***Self-assessment conducted on 30 volunteers Sulfates SLS and SLES Parabens Formaldehydes Formaldehyde-releasing agents Phthalates Mineral oil Retinyl palmitate Oxybenzone Coal Tar Hydroquinone Triclosan and triclocarban Gluten How To Use","Ingredients Cyclopentasiloxane, Water/Aqua/Eau, Dimethicone Crosspolymer, Lauryl Peg/Ppg-18/18 Methicone, Methyl Methacrylate Crosspolymer, Polymethylsilsesquioxane, Dimethicone/Vinyl Dimethicone Crosspolymer, Polysilicone-11, Titanium Dioxide (Ci 77891), Dimethyl Isosorbide, Polymethyl Methacrylate, Phenoxyethanol, Peg/Ppg-18/18 Dimethicone, Isopentyldiol, Ethylhexyl Palmitate, Capryloyl Salicylic Acid, Chlorphenesin, Lavandula Angustifolia (Lavender) Oil, Ethylhexylglycerin, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Silica, Triethoxycaprylylsilane, Hdi/Trimethylol Hexyllactone Crosspolymer, Dimethyl Oxobenzo Dioxasilane, Silica Dimethyl Silylate, Trifolium Pratense (Clover) Flower Extract, Laureth-12, Iron Oxide (Ci 77492, Ci 77491, Ci 77499).","smooth/creamy texture, easy to apply/use, long-lasting wear, glowy/radiant finish, lightweight feel, natural-looking finish, convenient packaging/applicator, good/buildable coverage, hydrating/non-drying, matte finish/oil control","heavy/thick feel, causes irritation/burning, too expensive/poor value","alone instead of foundation, oily skin, cheeks/blush, deep/dark skin tones, natural/light makeup looks, under foundation/makeup",4.7,1078.0
